source,file
https://researchcenter.paloaltonetworks.com/2018/08/unit42-darkhydrus-uses-phishery-harvest-credentials-middle-east/,2d2e3d40d4d8e745302f2f79b522b7498c418a9200c672e685e121322c13b4f5.html
https://www.us-cert.gov/ncas/alerts/TA18-074A,8ea85e98b0f926fd54636ac7cf26c7d27b0226acb61fcfb562213feb2dc6640f.html
https://www.us-cert.gov/ncas/alerts/TA17-293A,ba57cd85d7aeedb5063ab66e0ea301d34453cfe90b784cbceccf48ba93514434.html
https://www.microsoft.com/security/blog/2021/05/28/breaking-down-nobeliums-latest-early-stage-toolset/,5e4410eedaf7fe249f3a7e9e32ed889704ca5aa6f0631d74b332d8f8e665533d.html
https://research.nccgroup.com/2021/01/12/abusing-cloud-services-to-fly-under-the-radar/,7544840ecffe1b80170a01f4ab75e122d451334933656de3ff4704a17f3e0d3e.html
https://www.alienvault.com/open-threat-exchange/blog/sykipot-variant-hijacks-dod-and-windows-smart-cards,313f1e6770ca190b2894497aaa1e4793e26d568e3f57925dd50cf7c90fd89a0a.html
https://blog.malwarebytes.com/threat-analysis/2020/04/new-agenttesla-variant-steals-wifi-credentials/,0799f0659bab16049cfa215ba35e03417b29f1b0c102cb1ab857964ae1b19119.html
https://www.microsoft.com/security/blog/2021/01/20/deep-dive-into-the-solorigate-second-stage-activation-from-sunburst-to-teardrop-and-raindrop/,86eaedacd5f9ef54a98b4fa20d2105ecb0ad4ad3ebc497d146b679fd00166af6.html
https://www.symantec.com/blogs/threat-intelligence/elfin-apt33-espionage,e16119523353db1edfe96940d9396cd182e34e4d4c16fa55415f5029968e3477.html
https://www.fireeye.com/blog/threat-research/2018/12/overruled-containing-a-potentially-destructive-adversary.html,63da26488d0673c950154e476560cea8911e224aa1e528daeb5ce9330c13f6d2.html
https://labs.bitdefender.com/2020/05/iranian-chafer-apt-targeted-air-transportation-and-government-in-kuwait-and-saudi-arabia/,22cbf61b998a9c3afe7cb406ab10eaf69ae19979983a33ddcd86f4f019ff1609.html
https://www.cybereason.com/blog/information-stealing-malware-targeting-brazil-full-research,b56fe6aa51dbace28e09cbb06acfa0822b692a902f9d01084e8ec4282ad41b18.html
http://pxnow.prevx.com/content/blog/carberp-a_modular_information_stealing_trojan.pdf,9c2ce60146ae0794e75135ec41732117e2281f298f30e8f5434b0337570c066f.pdf
https://www.f-secure.com/documents/996508/1030745/dukes_whitepaper.pdf,3ef9d969f81cc92d128a5c98a10fa256c701aeb3b766586ac70f91a73b0a42fc.pdf
https://www.welivesecurity.com/2020/07/09/more-evil-deep-look-evilnum-toolset/,1e5304124be28f5d5b4f51ad66cbcce7bfd7bb83fc2505919b072e3ca1298ead.html
https://usa.visa.com/dam/VCOM/global/support-legal/documents/fin6-cybercrime-group-expands-threat-To-ecommerce-merchants.pdf,3cc345c62a4e7b33428ab8222dfcbae51ba2230ac4d30ce1c62b10718704b518.pdf
https://www.cybereason.com/blog/back-to-the-future-inside-the-kimsuky-kgh-spyware-suite,05c1759c3399943e8639693e23ddb26bf165e2c7a855590d0ef4675915f2aaf8.html
https://github.com/AlessandroZ/LaZagne,02efd65207c16d456eaf5e945d36324a2315cd29f28456b4bb1d1b958a4839f0.html
https://www.symantec.com/blogs/threat-intelligence/leafminer-espionage-middle-east,fcb7a3af280ff3693fc87700c98f8e402030bbe8637f1c652cdc9558594a6af0.html
https://insights.infoblox.com/threat-intelligence-reports/threat-intelligence--22,1634374f151c24d6943fd5b08cb064819ffabbe9e3d7590cd64d20e7ba2f236f.html
https://github.com/gentilkiwi/mimikatz,931e1d77d626a3d42c3417b8436f778e03d9de01a10ce60f523c3a872c9de8eb.html
https://github.com/gentilkiwi/mimikatz/wiki/module-~-lsadump,b3b303f66fcb52aec2fc997a4dce82c64d60cba44b603bc84a7b899a8f72e9cd.html
https://www.dsinternals.com/en/retrieving-dpapi-backup-keys-from-active-directory/,22aed2decf92cf5b63923930d9d1f24d6009463af587abcfa23a2e27f545eb33.html
https://www.ncsc.gov.uk/report/joint-report-on-publicly-available-hacking-tools,fae488c9cb1c37e76defeb2c4fd50cbcb756393e16c2f8de025c6c240a8a3e3a.html
https://researchcenter.paloaltonetworks.com/2017/11/unit42-muddying-the-water-targeted-attacks-in-the-middle-east/,79130c48852ca2fbc96a824844b6c2672c759abd4bf3f738f9abdfc47ea1ca0e.html
https://www.symantec.com/blogs/threat-intelligence/seedworm-espionage-group,e355f1eea76bed99b540d8a6a213b6dce6e17c9ecf5a3f8be4edd6ad897aa074.html
https://www.trendmicro.com/en_us/research/21/c/earth-vetala---muddywater-continues-to-target-organizations-in-t.html,38540b23b8c0c2e05f57d42bf740c4dd83996a9a30c61c6f4a14000699e2873b.html
https://redcanary.com/blog/netwire-remote-access-trojan-on-linux/,94ead2c642e2eeff8f796e945a97f69bd8434d6b0834a0a800974690df0e02ce.html
https://pan-unit42.github.io/playbook_viewer/,d84b8739775e694e3171205e344068f7eaa7da1a862420baad129df40d9a937c.html
https://www.brighttalk.com/webcast/10703/296317/apt34-new-targeted-attack-in-the-middle-east,a8140089619f02e2c37166f4e79a4857b77988f6fdd887c610eb031bf73d853a.html
https://www.fireeye.com/blog/threat-research/2019/07/hard-pass-declining-apt34-invite-to-join-their-professional-network.html,2b471052778fd0a43205f9b26faf8e0d316961485a6a73d764795a2f55831cf1.html
https://www.welivesecurity.com/2018/07/09/certificates-stolen-taiwanese-tech-companies-plead-malware-campaign/,8d0e1da272b56cdea51f2521b9a6f3e14c8afdb41521b047045b6617429ed7b7.html
http://www.welivesecurity.com/wp-content/uploads/2016/05/Operation-Groundbait.pdf,4d5df8991e86afff1cceb97201cce01d8d070b99780ff7916f7d44ee126b0ba8.pdf
https://github.com/n1nj4sec/pupy,45510a232d71347d27dc8df18a5b447d552f93103627b5fe57bc83c97af30725.html
https://github.com/quasar/QuasarRAT,61c576f1ece668116315fd2746b6a79e193d27e8697705c6977e036183328b88.html
https://www.volexity.com/blog/2018/06/07/patchwork-apt-group-targets-us-think-tanks/,0d1411b277523dfea138d85ed5ac628c2356e48a3b0d7c8998867a640de408fa.html
https://citizenlab.org/2016/05/stealth-falcon/,48462922ea7f287b97d8aba2a13505093eb1eb70f918bec8f60cfee15109ba58.html
https://documents.trendmicro.com/assets/white_papers/wp-pawn-storm-in-2019.pdf,4040666a3a4b645bb791d8a32e3943e9b65910dcd374458388be1df116ed90d2.pdf
https://www.trendmicro.com/en_us/research/20/l/pawn-storm-lack-of-sophistication-as-a-strategy.html,5754a0adbdde5c3b7fec3b9bbc6a41d1a2a15a3377b5612e7b8f614e0c2c4ae3.html
https://blogs.microsoft.com/on-the-issues/2020/09/10/cyberattacks-us-elections-trump-biden/,af02e9f45f001afd4e399a82a27f3087641de778384c6958f002187d0a592f8d.html
https://us-cert.cisa.gov/ncas/alerts/aa20-239a,710e9429f6eae0e631d43ab00ad1f42ea217535d65b9a8d7454f8d1d5e1dcd6a.html
https://www.fireeye.com/blog/threat-research/2019/01/apt39-iranian-cyber-espionage-group-focused-on-personal-information.html,8442d024e4b31f5cd2c8cb00eeaa8037d369e44dbe180cae254fd2d86c9cb16a.html
https://www.clearskysec.com/wp-content/uploads/2021/01/Lebanese-Cedar-APT.pdf,6c6a6ce5c9ce355f01a6b292f0e948790353ae2f470ae3f3e84b718b967d8fc4.pdf
http://gosecure.net/2018/02/14/chaos-stolen-backdoor-rising/,4eb3205c93206f6387b1a368a5a6e5dd580da2232d1b9612129a3e692ae7f8ed.html
https://github.com/byt3bl33d3r/CrackMapExec/wiki/SMB-Command-Reference,c8b6650c1ab52bbde8b37de88116eb93e10b92e51bb8ae51fe3471d9f5f564ab.html
https://securelist.com/darkvishnya/89169/,7d42780eebc7a32b5d4cc6b7e34158f6d43531bfce1a5d909251df9da33a2916.html
https://www.darkreading.com/analytics/prolific-cybercrime-gang-favors-legit-login-credentials/d/d-id/1322645?,ef88030bf9688b2bd1ca3fdd6bd937c3f29d2c801885433f2a4f29296737cb54.html
https://www.youtube.com/watch?v=fevGZs0EQu8,26a242cf83d82e4640b67ced9dccdd7eedc08aec683b2a6f45cbe19035bf6d62.html
